Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-442720,"CREB1 phosphorylation through the activation of Adenylate Cyclase",0,17,1,33,0.001127994160971402,0.117587400660494,0.5504492279831177,2,6,4.3968928623772536E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-8951727;R-HSA-442715"
R-HSA-75953,"RNA Polymerase II Transcription Initiation",1,49,0,0,0.003251277287505806,0.11988663926765575,0.5504492279831177,3,3,2.1984464311886268E-4,9606,Homo sapiens,"TAF10","",,,"R-HSA-75861;R-HSA-75864;R-HSA-75866"
R-HSA-114508,"Effects of PIP2 hydrolysis",1,40,0,10,0.002654103908168005,0.12217998994312596,0.5504492279831177,1,9,6.59533929356588E-4,9606,Homo sapiens,"DGKQ","",,,"R-HSA-426240"
R-HSA-75205,"Dissolution of Fibrin Clot",0,14,1,41,9.289363678588017E-4,0.13355894155777137,0.5504492279831177,3,19,0.0013923494064194636,9606,Homo sapiens,"","",ORM1,P05121,"R-HSA-158800;R-HSA-158795;R-HSA-159005"
R-HSA-163359,"Glucagon signaling in metabolic regulation",0,40,1,21,0.002654103908168005,0.14255762137647576,0.5504492279831177,1,6,4.3968928623772536E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-164377"
R-HSA-6806664,"Metabolism of vitamin K",0,9,1,55,5.971733793378011E-4,0.15367689620562175,0.5504492279831177,1,4,2.931261908251502E-4,9606,Homo sapiens,"","",AGT,Q8N0U8,"R-HSA-6806647"
R-HSA-4086398,"Ca2+ pathway",2,81,1,193,0.00537456041404021,0.15799573299457748,0.5504492279831177,5,27,0.001978601788069764,9606,Homo sapiens,"LEF1;PRKG1","Q13976;Q9UJU2",TMEM176B,P17252,"R-HSA-8944362;R-HSA-4411383;R-HSA-4332390;R-HSA-4411365;R-HSA-4551453"
R-HSA-111931,"PKA-mediated phosphorylation of CREB",0,26,1,44,0.001725167540309203,0.15808481905045846,0.5504492279831177,2,7,5.129708339440129E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-8951727;R-HSA-111930"
R-HSA-381676,"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0,50,1,20,0.003317629885210006,0.16465443115292777,0.5504492279831177,4,11,8.060970247691632E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-381668;R-HSA-381607;R-HSA-381608;R-HSA-381707"
R-HSA-432040,"Vasopressin regulates renal water homeostasis via Aquaporins",0,53,1,17,0.0035166876783226065,0.16465443115292777,0.5504492279831177,2,15,0.0010992232155943133,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-8951727;R-HSA-164377"
R-HSA-418597,"G alpha (z) signalling events",0,63,1,13,0.0041802136553646075,0.17764287479362129,0.5504492279831177,1,13,9.526601201817383E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-392129"
R-HSA-2559586,"DNA Damage/Telomere Stress Induced Senescence",2,71,0,248,0.004711034436998209,0.18385670932430642,0.5504492279831177,1,18,0.001319067858713176,9606,Homo sapiens,"HIST1H1D","",,,"R-HSA-4647594"
R-HSA-70263,"Gluconeogenesis",1,66,0,15,0.004379271448477208,0.19043279512243227,0.5504492279831177,1,26,0.0019053202403634766,9606,Homo sapiens,"PCK2","",,,"R-HSA-372819"
R-HSA-392517,"Rap1 signalling",1,24,1,63,0.0015924623449008028,0.1925453576586479,0.5504492279831177,2,7,5.129708339440129E-4,9606,Homo sapiens,"PRKG1","Q13976-1",PRKG1,17489,"R-HSA-913996;R-HSA-392834"
R-HSA-2022377,"Metabolism of Angiotensinogen to Angiotensins",1,27,2,58,0.0017915201380134032,0.19465250227412578,0.5504492279831177,17,20,0.0014656309541257512,9606,Homo sapiens,"AGT","P01019",AGT;AGT,Q9BYF1,"R-HSA-2022398;R-HSA-2022399;R-HSA-2022396;R-HSA-2022393;R-HSA-2022383;R-HSA-2022412;R-HSA-2065357;R-HSA-2022381;R-HSA-2022378;R-HSA-2065355;R-HSA-2022379;R-HSA-2022411;R-HSA-2028294;R-HSA-2022405;R-HSA-2022403;R-HSA-2022368;R-HSA-8851929"
R-HSA-445717,"Aquaporin-mediated transport",0,69,1,17,0.004578329241589808,0.19885059231609026,0.5504492279831177,2,25,0.001832038692657189,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-8951727;R-HSA-164377"
R-HSA-190704,"Oligomerization of connexins into connexons",0,3,1,91,1.9905779311260035E-4,0.21337523880795006,0.5504492279831177,1,3,2.1984464311886268E-4,9606,Homo sapiens,"","",KIAA1644,P29033,"R-HSA-190687"
R-HSA-8851680,"Butyrophilin (BTN) family interactions",0,12,1,85,7.962311724504014E-4,0.2215585171635036,0.5504492279831177,1,8,5.862523816503004E-4,9606,Homo sapiens,"","",TFF1,Q6UX41,"R-HSA-8852013"
R-HSA-9010642,"ROBO receptors bind AKAP5",0,11,1,89,7.298785747462014E-4,0.22359122906155637,0.5504492279831177,2,7,5.129708339440129E-4,9606,Homo sapiens,"","",TMEM176B,P17252,"R-HSA-9010643;R-HSA-9010646"
R-HSA-73779,"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening",1,47,0,53,0.0031185720920974057,0.22561872430471897,0.5504492279831177,5,5,3.664077385314378E-4,9606,Homo sapiens,"TAF10","",,,"R-HSA-109637;R-HSA-109636;R-HSA-109639;R-HSA-75095;R-HSA-109638"
R-HSA-167161,"HIV Transcription Initiation",1,49,0,53,0.003251277287505806,0.22965811740777264,0.5504492279831177,4,4,2.931261908251502E-4,9606,Homo sapiens,"TAF10","",,,"R-HSA-167477;R-HSA-167130;R-HSA-167134;R-HSA-167118"
R-HSA-167162,"RNA Polymerase II HIV Promoter Escape",1,49,0,53,0.003251277287505806,0.22965811740777264,0.5504492279831177,6,9,6.59533929356588E-4,9606,Homo sapiens,"TAF10","",,,"R-HSA-167474;R-HSA-9613490;R-HSA-167136;R-HSA-167121;R-HSA-9613498;R-HSA-167113"
R-HSA-6785807,"Interleukin-4 and Interleukin-13 signaling",2,211,0,153,0.014000398115586225,0.23230154401805458,0.5504492279831177,1,47,0.0034442327421955153,9606,Homo sapiens,"SAA1","",,,"R-HSA-6789615"
R-HSA-73776,"RNA Polymerase II Promoter Escape",1,51,0,53,0.0033839824829142062,0.23367680131018287,0.5504492279831177,5,7,5.129708339440129E-4,9606,Homo sapiens,"TAF10","",,,"R-HSA-75873;R-HSA-9613494;R-HSA-75850;R-HSA-9613497;R-HSA-75869"
R-HSA-5620922,"BBSome-mediated cargo-targeting to cilium",0,25,1,93,0.001658814942605003,0.23367680131018287,0.5504492279831177,1,5,3.664077385314378E-4,9606,Homo sapiens,"","",PCK2,Q9BXC9,"R-HSA-5624125"
R-HSA-5210891,"Uptake and function of anthrax toxins",0,22,1,86,0.0014597571494924027,0.2356784099309841,0.5504492279831177,1,20,0.0014656309541257512,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-5211224"
R-HSA-76042,"RNA Polymerase II Transcription Initiation And Promoter Clearance",1,53,0,53,0.0035166876783226065,0.23767488033081263,0.5504492279831177,9,11,8.060970247691632E-4,9606,Homo sapiens,"TAF10","",,,"R-HSA-75873;R-HSA-75861;R-HSA-9613494;R-HSA-75864;R-HSA-75866;R-HSA-75850;R-HSA-9613497;R-HSA-75869;R-HSA-75949"
R-HSA-4608870,"Asymmetric localization of PCP proteins",0,66,1,41,0.004379271448477208,0.2436335916363005,0.5504492279831177,2,7,5.129708339440129E-4,9606,Homo sapiens,"","",JRK,Q96MT3,"R-HSA-4608855;R-HSA-4608852"
R-HSA-9678110,"Attachment and Entry",0,20,2,92,0.0013270519540840024,0.24560963842388128,0.5504492279831177,4,10,7.328154770628756E-4,9606,Homo sapiens,"","",AGT;AGT,Q9BYF1,"R-HSA-9678128;R-HSA-9695415;R-HSA-9686710;R-HSA-9686731"
R-HSA-8957275,"Post-translational protein phosphorylation",1,109,0,0,0.007232433149757813,0.247580611466383,0.5504492279831177,1,1,7.328154770628756E-5,9606,Homo sapiens,"VGF","",,,"R-HSA-8952289"
R-HSA-9694614,"Attachment and Entry",0,16,2,97,0.0010616415632672019,0.247580611466383,0.5504492279831177,5,11,8.060970247691632E-4,9606,Homo sapiens,"","",AGT;AGT,Q9BYF1,"R-HSA-9694579;R-HSA-9694661;R-HSA-9699007;R-HSA-9694287;R-HSA-9698988"
R-HSA-9031628,"NGF-stimulated transcription",2,56,1,329,0.0037157454714352067,0.2544580911559158,0.5504492279831177,5,37,0.0027114172651326396,9606,Homo sapiens,"VGF","ENSG00000128564;O15240",MYBPHL,Q15078,"R-HSA-9620723;R-HSA-9620663;R-HSA-9616110;R-HSA-9621054;R-HSA-9620717"
R-HSA-3134973,"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production",0,7,2,109,4.6446818392940084E-4,0.25930061563072815,0.5504492279831177,4,5,3.664077385314378E-4,9606,Homo sapiens,"","",JRK;LEF1,P35222,"R-HSA-3134904;R-HSA-3134901;R-HSA-3134883;R-HSA-3134914"
R-HSA-416476,"G alpha (q) signalling events",3,284,1,428,0.018844137747992835,0.2724520567719244,0.5504492279831177,5,35,0.0025648541697200645,9606,Homo sapiens,"DGKQ;SAA1;AGT","P01019;P52824;P0DJI8",TMEM176B,P17252,"R-HSA-749448;R-HSA-426240;R-HSA-749452;R-HSA-400015;R-HSA-379048"
R-HSA-8869496,"TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation",0,9,1,114,5.971733793378011E-4,0.2727473309276275,0.5504492279831177,1,7,5.129708339440129E-4,9606,Homo sapiens,"","",PCK2,P10809,"R-HSA-8869558"
R-HSA-70171,"Glycolysis",0,110,1,17,0.007298785747462013,0.2746486011607845,0.5504492279831177,1,24,0.0017587571449509014,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-71670"
R-HSA-8932339,"ROS sensing by NFE2L2",0,60,1,65,0.003981155862252007,0.27654498634615654,0.5504492279831177,4,8,5.862523816503004E-4,9606,Homo sapiens,"","",LEF1,Q16236,"R-HSA-8932284;R-HSA-8932334;R-HSA-8932322;R-HSA-8932327"
R-HSA-445989,"TAK1-dependent IKK and NF-kB activation  ",1,39,0,94,0.0025877513104638045,0.27654498634615654,0.5504492279831177,1,5,3.664077385314378E-4,9606,Homo sapiens,"SAA1","",,,"R-HSA-168166"
R-HSA-3000178,"ECM proteoglycans",0,79,1,50,0.00524185521863181,0.2803231508701728,0.5504492279831177,1,23,0.0016854755972446139,9606,Homo sapiens,"","",ORM1,P05121,"R-HSA-2396079"
R-HSA-190861,"Gap junction assembly",0,41,1,91,0.002720456505872205,0.28408192278763633,0.5504492279831177,2,16,0.0011725047633006009,9606,Homo sapiens,"","",KIAA1644,P29033,"R-HSA-1629787;R-HSA-190687"
R-HSA-168316,"Assembly of Viral Components at the Budding Site",0,7,1,123,4.6446818392940084E-4,0.28408192278763633,0.5504492279831177,1,17,0.0012457863110068885,9606,Homo sapiens,"","",MYBPHL,P27797,"R-HSA-169921"
R-HSA-1296071,"Potassium Channels",0,107,1,22,0.007099727954349413,0.28408192278763633,0.5504492279831177,1,19,0.0013923494064194636,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-1297444"
R-HSA-373080,"Class B/2 (Secretin family receptors)",1,99,0,42,0.006568907172715812,0.2878213998996575,0.5504492279831177,3,20,0.0014656309541257512,9606,Homo sapiens,"CRH","",,,"R-HSA-8937613;R-HSA-8937631;R-HSA-420173"
R-HSA-6794361,"Neurexins and neuroligins",1,60,0,74,0.003981155862252007,0.28968393333393927,0.5504492279831177,4,19,0.0013923494064194636,9606,Homo sapiens,"DLGAP3","",,,"R-HSA-6794357;R-HSA-6797554;R-HSA-6794338;R-HSA-6794344"
R-HSA-9013695,"NOTCH4 Intracellular Domain Regulates Transcription",0,26,1,114,0.001725167540309203,0.29708631536051977,0.5504492279831177,1,9,6.59533929356588E-4,9606,Homo sapiens,"","",PCK2,P84022,"R-HSA-9605414"
R-HSA-198725,"Nuclear Events (kinase and transcription factor activation)",2,80,1,352,0.00530820781633601,0.2979090450760633,0.5504492279831177,5,48,0.003517514289901803,9606,Homo sapiens,"VGF","ENSG00000128564;O15240",MYBPHL,Q15078,"R-HSA-9620723;R-HSA-9620663;R-HSA-9616110;R-HSA-9621054;R-HSA-9620717"
R-HSA-9634597,"GPER1 signaling",0,56,1,84,0.0037157454714352067,0.30441287170566844,0.5504492279831177,2,10,7.328154770628756E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-392129;R-HSA-8951727"
R-HSA-9664420,"Killing mechanisms",0,20,2,122,0.0013270519540840024,0.30441287170566844,0.5504492279831177,1,9,6.59533929356588E-4,9606,Homo sapiens,"","",TFF1;VGF,P05412,"R-HSA-9673789"
R-HSA-9673324,"WNT5:FZD7-mediated leishmania damping",0,20,2,122,0.0013270519540840024,0.30441287170566844,0.5504492279831177,1,9,6.59533929356588E-4,9606,Homo sapiens,"","",TFF1;VGF,P05412,"R-HSA-9673789"
R-HSA-450520,"HuR (ELAVL1) binds and stabilizes mRNA",0,12,1,129,7.962311724504014E-4,0.306232752636014,0.5504492279831177,1,7,5.129708339440129E-4,9606,Homo sapiens,"","",TMEM176B,P17252,"R-HSA-450550"
R-HSA-168268,"Virus Assembly and Release",0,20,1,129,0.0013270519540840024,0.3116643655941317,0.5504492279831177,1,21,0.0015389125018320387,9606,Homo sapiens,"","",MYBPHL,P27797,"R-HSA-169921"
R-HSA-111933,"Calmodulin induced events",0,43,1,110,0.002853161701280605,0.3224025153214374,0.5504492279831177,3,23,0.0016854755972446139,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-111955;R-HSA-8951727;R-HSA-111930"
R-HSA-190828,"Gap junction trafficking",0,52,1,103,0.003450335080618406,0.3224025153214374,0.5504492279831177,2,20,0.0014656309541257512,9606,Homo sapiens,"","",KIAA1644,P29033,"R-HSA-1629787;R-HSA-190687"
R-HSA-2032785,"YAP1- and WWTR1 (TAZ)-stimulated gene expression",0,18,1,142,0.0011943467586756022,0.32946964283317226,0.5504492279831177,1,9,6.59533929356588E-4,9606,Homo sapiens,"","",TAF10,Q92831,"R-HSA-2032794"
R-HSA-111997,"CaM pathway",0,43,1,120,0.002853161701280605,0.33993471848495593,0.5504492279831177,3,24,0.0017587571449509014,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-111955;R-HSA-8951727;R-HSA-111930"
R-HSA-157858,"Gap junction trafficking and regulation",0,56,1,112,0.0037157454714352067,0.33993471848495593,0.5504492279831177,2,24,0.0017587571449509014,9606,Homo sapiens,"","",KIAA1644,P29033,"R-HSA-1629787;R-HSA-190687"
R-HSA-8985801,"Regulation of cortical dendrite branching",0,4,1,159,2.6541039081680047E-4,0.34682208688615535,0.5504492279831177,1,2,1.465630954125751E-4,9606,Homo sapiens,"","",CHRDL2,O75093,"R-HSA-8985799"
R-HSA-399997,"Acetylcholine regulates insulin secretion",0,20,1,143,0.0013270519540840024,0.34682208688615535,0.5504492279831177,1,7,5.129708339440129E-4,9606,Homo sapiens,"","",TMEM176B,P17252,"R-HSA-400015"
R-HSA-8951430,"RUNX3 regulates WNT signaling",1,10,0,160,6.635259770420012E-4,0.35194121726133354,0.5504492279831177,5,5,3.664077385314378E-4,9606,Homo sapiens,"LEF1","",,,"R-HSA-4411367;R-HSA-8951442;R-HSA-8951443;R-HSA-8951428;R-HSA-4411357"
R-HSA-450341,"Activation of the AP-1 family of transcription factors",0,12,2,160,7.962311724504014E-4,0.35194121726133354,0.5504492279831177,4,5,3.664077385314378E-4,9606,Homo sapiens,"","",VGF;TFF1,P01100;P05412,"R-HSA-450292;R-HSA-450325;R-HSA-168440;R-HSA-168136"
R-HSA-70326,"Glucose metabolism",1,140,1,32,0.009289363678588018,0.3553320448163526,0.5504492279831177,2,50,0.003664077385314378,9606,Homo sapiens,"PCK2","Q16822",PRKG1,17489,"R-HSA-372819;R-HSA-71670"
R-HSA-6798695,"Neutrophil degranulation",2,480,0,0,0.031849246898016055,0.35619051595330287,0.5504492279831177,4,10,7.328154770628756E-4,9606,Homo sapiens,"ORM1","",,,"R-HSA-6798743;R-HSA-6799350;R-HSA-6798749;R-HSA-6798745"
R-HSA-109704,"PI3K Cascade",0,58,1,114,0.003848450666843607,0.36038561847397077,0.5504492279831177,1,6,4.3968928623772536E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-162425"
R-HSA-351906,"Apoptotic cleavage of cell adhesion  proteins",0,11,2,165,7.298785747462014E-4,0.36540025475212157,0.5504492279831177,1,10,7.328154770628756E-4,9606,Homo sapiens,"","",JRK;LEF1,P35222,"R-HSA-202969"
R-HSA-6804759,"Regulation of TP53 Activity through Association with Co-factors",0,17,2,162,0.001127994160971402,0.37037624843674855,0.5504492279831177,2,11,8.060970247691632E-4,9606,Homo sapiens,"","",PID1;CHRDL2,Q8N9N5;Q12837,"R-HSA-6804425;R-HSA-3221982"
R-HSA-112399,"IRS-mediated signalling",0,65,1,114,0.004312918850773007,0.372026376389879,0.5504492279831177,1,9,6.59533929356588E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-162425"
R-HSA-167172,"Transcription of the HIV genome",1,79,0,110,0.00524185521863181,0.37367225403277704,0.5504492279831177,12,47,0.0034442327421955153,9606,Homo sapiens,"TAF10","",,,"R-HSA-9613490;R-HSA-167474;R-HSA-167136;R-HSA-167121;R-HSA-167477;R-HSA-9613498;R-HSA-167130;R-HSA-167113;R-HSA-167097;R-HSA-167118;R-HSA-167134;R-HSA-167484"
R-HSA-9707587,"Regulation of HMOX1 expression and activity",0,75,1,112,0.004976444827815009,0.3802134762241586,0.5504492279831177,4,19,0.0013923494064194636,9606,Homo sapiens,"","",LEF1,Q16236,"R-HSA-8932284;R-HSA-8932334;R-HSA-8932322;R-HSA-8932327"
R-HSA-4411364,"Binding of TCF/LEF:CTNNB1 to target gene promoters",1,10,0,176,6.635259770420012E-4,0.383458863851201,0.5504492279831177,4,4,2.931261908251502E-4,9606,Homo sapiens,"LEF1","",,,"R-HSA-4411351;R-HSA-4411367;R-HSA-4411357;R-HSA-4411372"
R-HSA-114608,"Platelet degranulation ",1,141,0,45,0.009355716276292217,0.383458863851201,0.5504492279831177,1,11,8.060970247691632E-4,9606,Homo sapiens,"ORM1","",,,"R-HSA-481007"
R-HSA-2428928,"IRS-related events triggered by IGF1R",0,69,1,120,0.004578329241589808,0.3866875491462083,0.5504492279831177,1,12,8.793785724754507E-4,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-162425"
R-HSA-375276,"Peptide ligand-binding receptors",2,203,0,343,0.013469577333952624,0.38800182070362255,0.5504492279831177,3,77,0.0056426791733841415,9606,Homo sapiens,"SAA1;AGT","",,,"R-HSA-9615348;R-HSA-374173;R-HSA-391913"
R-HSA-435354,"Zinc transporters",0,18,1,172,0.0011943467586756022,0.3882956548286849,0.5504492279831177,1,13,9.526601201817383E-4,9606,Homo sapiens,"","",KIAA1644,Q92504,"R-HSA-442393"
R-HSA-8943724,"Regulation of PTEN gene transcription",0,70,2,124,0.004644681839294009,0.3914994448529502,0.5504492279831177,1,15,0.0010992232155943133,9606,Homo sapiens,"","",TFF1;VGF,P05412,"R-HSA-8944047"
R-HSA-2428924,"IGF1R signaling cascade",0,72,1,120,0.004777387034702409,0.3914994448529502,0.5504492279831177,1,17,0.0012457863110068885,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-162425"
R-HSA-2404192,"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",0,73,1,120,0.0048437396324066085,0.3930951501520519,0.5504492279831177,1,19,0.0013923494064194636,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-162425"
R-HSA-1433559,"Regulation of KIT signaling",0,18,1,177,0.0011943467586756022,0.3946867429039248,0.5504492279831177,1,8,5.862523816503004E-4,9606,Homo sapiens,"","",TMEM176B,P17252,"R-HSA-1433508"
R-HSA-9660821,"ADORA2B mediated anti-inflammatory cytokines production",1,159,1,39,0.010550063034967819,0.3994369498829813,0.5504492279831177,3,12,8.793785724754507E-4,9606,Homo sapiens,"CRH","P06850",PRKG1,17489,"R-HSA-392129;R-HSA-8951727;R-HSA-9660824"
R-HSA-6804760,"Regulation of TP53 Activity through Methylation",0,23,1,176,0.0015261097471966027,0.3994369498829813,0.5504492279831177,1,12,8.793785724754507E-4,9606,Homo sapiens,"","",AGT,O14744,"R-HSA-6804379"
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",0,43,1,157,0.002853161701280605,0.4010121963235098,0.5504492279831177,1,20,0.0014656309541257512,9606,Homo sapiens,"","",ORM1,P05121,"R-HSA-549364"
R-HSA-6804756,"Regulation of TP53 Activity through Phosphorylation",1,95,0,115,0.006303496781899011,0.4119257949172551,0.5504492279831177,1,26,0.0019053202403634766,9606,Homo sapiens,"TAF10","",,,"R-HSA-6805399"
R-HSA-4641262,"Disassembly of the destruction complex and recruitment of AXIN to the membrane",0,33,2,183,0.002189635724238604,0.41807414852862523,0.5504492279831177,1,7,5.129708339440129E-4,9606,Homo sapiens,"","",JRK;LEF1,P35222,"R-HSA-201685"
R-HSA-425410,"Metal ion SLC transporters",0,33,1,180,0.002189635724238604,0.41960133931589483,0.5504492279831177,1,20,0.0014656309541257512,9606,Homo sapiens,"","",KIAA1644,Q92504,"R-HSA-442393"
R-HSA-6794362,"Protein-protein interactions at synapses",1,93,0,124,0.006170791586490611,0.42112459110790124,0.5504492279831177,4,33,0.0024182910743074893,9606,Homo sapiens,"DLGAP3","",,,"R-HSA-6794357;R-HSA-6797554;R-HSA-6794338;R-HSA-6794344"
R-HSA-111996,"Ca-dependent events",0,48,1,168,0.0031849246898016056,0.42415931760864456,0.5504492279831177,3,27,0.001978601788069764,9606,Homo sapiens,"","",PRKG1,17489,"R-HSA-111955;R-HSA-8951727;R-HSA-111930"
R-HSA-1660661,"Sphingolipid de novo biosynthesis",1,80,0,136,0.00530820781633601,0.42415931760864456,0.5504492279831177,1,32,0.0023450095266012018,9606,Homo sapiens,"ORM1","",,,"R-HSA-428127"
R-HSA-3858494,"Beta-catenin independent WNT signaling",2,166,2,400,0.011014531218897219,0.42456047674097797,0.5504492279831177,7,51,0.0037373589330206656,9606,Homo sapiens,"LEF1;PRKG1","Q13976;Q9UJU2",TMEM176B;JRK,Q96MT3;P17252,"R-HSA-4608855;R-HSA-4608852;R-HSA-8944362;R-HSA-4411383;R-HSA-4332390;R-HSA-4411365;R-HSA-4551453"
R-HSA-2173788,"Downregulation of TGF-beta receptor signaling",0,28,1,192,0.0018578727357176034,0.42868211363504927,0.5504492279831177,1,28,0.0020518833357760515,9606,Homo sapiens,"","",PCK2,P84022,"R-HSA-2187375"
R-HSA-381183,"ATF6 (ATF6-alpha) activates chaperone genes",0,15,1,205,9.952889655630017E-4,0.43018194020663325,0.5504492279831177,1,5,3.664077385314378E-4,9606,Homo sapiens,"","",MYBPHL,P27797,"R-HSA-1791082"
R-HSA-381033,"ATF6 (ATF6-alpha) activates chaperones",0,17,1,205,0.001127994160971402,0.4331699942329411,0.5504492279831177,1,10,7.328154770628756E-4,9606,Homo sapiens,"","",MYBPHL,P27797,"R-HSA-1791082"
R-HSA-9619665,"EGR2 and SOX10-mediated initiation of Schwann cell myelination",0,39,1,181,0.0025877513104638045,0.4331699942329411,0.5504492279831177,1,26,0.0019053202403634766,9606,Homo sapiens,"","",KIAA1644,Q01453,"R-HSA-9615626"
