Gene	OF2_OO_sc.1	OF2_OO_sc.2	OF2_OO_sc.3	OF2_OO_sc.4	OF2_OO_sc.5	OF2_OO_sc.6	OF2_OO_sc.7	OF2_OO_sc.8	OF2_OO_sc.9	OF2_OO_sc.10	OF2_OO_sc.11	OF2_OO_sc.12	OF2_OO_sc.13	OF2_OO_sc.14	OF2_OO_sc.15	OF2_OO_sc.16	OF2_OO_sc.17	OF2_OO_sc.18	OF2_OO_sc.19	OF2_OO_sc.20	OF2_OO_sc.21	OF2_OO_sc.22	OF2_OO_sc.23	OF2_OO_sc.24	OF2_OO_sc.25	OF2_OO_sc.27	OF2_OO_sc.28	OF2_OO_sc.29	OF2_OO_sc.30	OF2_OO_sc.31	OF2_OO_sc.32	OF2_OO_sc.33	OF2_OO_sc.34	OF2_OO_sc.35	OF2_OO_sc.36	OF2_OO_sc.37	OF2_OO_sc.38
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	0	0	0	0	0	0	1	0	9	1	51	218	96	0	8	0	3	7	0	4	54	7	15	72	24	1	0	0	0	1	3	3	0	2	5	0	2
AARD	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AARS	0	3	0	5	1	0	0	4	34	1	60	451	284	1	10	0	38	26	1	14	231	23	85	322	62	17	0	0	1	1	11	24	0	20	27	3	2
AARS2	0	0	0	0	0	0	0	0	1	0	25	5	0	0	0	0	0	0	0	0	2	0	2	2	1	0	0	0	0	0	1	2	0	1	0	0	0
AASDH	3	0	0	1	3	0	0	4	3	0	103	114	46	0	8	1	11	26	2	8	35	23	13	43	4	0	0	1	1	1	1	0	0	2	2	0	0
AASDHPPT	4	0	2	5	2	0	2	4	28	1	110	290	179	1	39	3	85	76	2	14	129	53	53	100	28	8	0	1	0	0	14	7	0	16	13	4	1
AASS	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	1	0	0	0	3	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	0	0	0	0	0	0	0	2	14	0	37	190	53	0	4	0	15	9	0	4	59	28	22	84	13	2	0	0	0	0	0	5	0	5	3	1	0
AATK	0	0	0	0	0	0	1	0	2	0	5	4	2	0	2	0	1	0	0	0	5	1	4	13	15	3	0	0	0	0	2	0	0	0	0	0	0
ABAT	0	1	1	2	0	0	0	1	4	0	70	109	51	1	21	2	56	35	0	6	78	22	25	71	5	4	0	0	2	0	9	6	0	4	3	5	1
ABCA1	0	1	2	0	2	0	1	2	10	1	36	186	92	1	44	5	84	103	1	17	80	75	19	61	16	0	0	2	4	1	6	3	0	4	0	0	0
ABCA10	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA12	0	0	0	1	0	0	0	0	3	0	14	43	28	0	1	0	9	0	0	6	41	8	16	31	10	4	0	0	0	1	2	0	0	0	1	2	0
ABCA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0
ABCA2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
ABCA3	0	0	0	0	0	0	0	0	2	0	7	10	6	0	1	0	0	0	0	0	3	0	3	13	2	0	0	0	1	0	0	0	0	0	1	0	0
ABCA4	0	0	0	0	0	0	0	0	0	0	7	34	7	0	2	0	2	5	0	0	9	1	1	9	0	0	0	0	0	0	0	2	0	0	0	0	0
ABCA5	0	2	0	2	2	0	0	3	11	0	30	256	102	0	7	1	20	39	2	5	58	38	11	59	7	2	0	0	0	0	11	6	0	3	1	0	2
ABCA6	0	0	1	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	1	0	0	0	0	0
ABCA7	0	0	1	0	0	0	0	0	2	0	3	19	29	0	1	0	3	3	0	2	23	4	16	71	14	0	0	0	0	0	0	0	0	0	0	0	0
ABCA8	0	0	0	0	0	0	0	0	1	0	78	1	1	0	1	0	0	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	0	0	0	0	24	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	1	0	0
ABCB1	0	2	0	0	0	1	0	0	4	0	1	195	43	0	10	0	24	82	0	2	33	20	6	30	3	2	0	0	3	0	3	1	0	0	0	1	1
ABCB10	0	0	0	0	0	1	0	0	3	0	41	5	14	0	3	0	7	9	0	1	19	7	17	20	3	0	0	0	0	0	2	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	1	0	16	4	0	0	1	1	0	0	0	2	1	4	6	4	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	0	0	0	0	0	0	0	0	7	0	49	63	24	0	1	0	2	6	0	2	17	3	10	33	11	3	0	0	0	0	0	2	0	5	1	0	0
ABCB7	0	0	0	0	0	0	1	1	5	0	50	71	42	0	6	1	10	11	0	6	46	25	14	39	15	0	0	0	0	0	2	4	0	5	9	0	0
ABCB8	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB9	0	0	0	0	0	0	0	0	1	0	2	56	17	0	2	0	7	3	0	0	15	3	9	27	4	0	0	0	0	0	2	0	0	0	0	0	0
ABCC1	0	0	0	0	0	1	0	0	1	0	9	25	19	0	5	0	4	4	0	1	36	2	17	92	14	0	0	0	0	0	1	0	0	0	3	0	0
ABCC10	0	0	0	0	0	0	0	0	3	0	26	63	42	1	1	0	6	7	0	1	40	14	11	68	3	2	0	0	0	0	0	1	0	0	1	0	1
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0	0	0	0	0	2	33	5	0	1	0	1	1	0	0	2	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCC3	0	0	0	2	0	0	0	0	3	0	0	24	28	1	2	0	2	2	0	4	22	5	6	18	4	0	0	0	0	0	1	0	0	2	0	0	1
ABCC4	0	0	0	1	0	1	2	0	10	0	29	196	204	0	24	1	43	40	0	8	187	60	72	215	40	2	0	1	3	1	21	7	0	10	2	0	0
ABCC5	0	0	0	1	0	0	0	0	7	0	61	118	47	1	8	0	8	19	0	4	37	8	9	36	10	0	0	0	0	0	2	0	0	3	3	0	0
ABCC6	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0
ABCD1	0	0	0	0	0	0	0	0	4	0	18	18	8	0	0	0	1	1	0	0	5	0	6	14	4	0	0	0	0	0	0	1	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABCD3	0	1	0	1	1	0	5	0	9	0	49	160	100	0	9	3	17	35	0	3	59	17	25	65	26	5	0	0	0	4	5	3	0	9	3	0	1
ABCD4	0	0	0	0	0	0	0	0	1	0	37	27	6	0	1	0	2	1	0	0	8	1	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCE1	0	3	1	4	1	0	4	0	26	0	84	326	246	2	19	3	49	50	2	18	171	60	65	178	49	4	1	1	2	0	8	4	0	11	16	6	0
ABCF1	2	6	1	10	5	3	1	7	18	2	223	342	226	1	23	7	58	69	1	17	202	76	87	281	71	14	0	0	5	1	9	14	1	21	12	3	12
ABCF2	0	0	0	3	1	0	1	4	14	1	54	1000	963	7	193	19	464	650	2	69	736	494	230	457	69	3	0	1	0	3	100	4	0	4	9	3	0
ABCF3	0	0	0	0	0	0	0	0	12	0	34	226	69	2	1	1	3	3	0	7	73	13	13	59	13	0	0	0	0	0	0	7	0	3	4	0	1
ABCG1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	0	0	0	0	0	0	0	0	0	0	10	2	2	0	0	0	0	1	2	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	2	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	3	2	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0	0	0	15	5	1	0	0	1	2	0	0	4	1	3	11	1	0	0	0	0	0	0	0	0	0	0	0	0
ABHD10	1	3	4	6	1	2	0	2	42	1	53	185	131	9	7	2	27	22	0	7	89	47	21	81	20	4	1	1	2	0	6	19	0	46	23	10	2
ABHD11	0	0	0	6	2	0	2	0	13	0	58	382	160	0	5	0	8	15	0	5	129	40	19	70	9	6	0	0	0	0	3	14	1	24	15	1	5
ABHD12	0	0	0	2	1	0	0	0	17	0	70	173	129	0	6	0	6	7	0	5	61	21	18	148	20	7	0	0	0	0	1	3	0	9	12	3	0
ABHD12B	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	0	0	0	2	0	0	0	0	0	0	12	39	7	0	0	0	4	4	0	0	5	5	2	9	1	0	0	0	0	0	2	0	0	0	0	0	0
ABHD14B	0	0	0	0	0	0	0	0	1	0	14	41	8	0	0	1	0	1	0	0	3	0	3	9	1	0	0	0	0	0	0	0	0	1	0	0	0
ABHD15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	0	0	1	0	0	0	0	2	19	0	144	340	103	4	6	0	13	10	0	1	80	12	22	75	13	1	0	0	0	0	1	5	0	3	6	0	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	0	0	0	0	0	0	0	0	0	0	68	5	7	0	0	0	1	0	0	0	7	0	5	51	8	1	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD18	0	0	0	1	2	0	0	0	1	0	7	79	16	0	1	2	12	13	0	1	22	17	7	18	2	0	0	0	0	0	1	1	0	1	1	0	0
ABHD2	0	0	0	2	0	0	0	0	3	0	4	134	51	0	3	0	2	5	0	2	25	10	8	40	3	0	0	0	0	0	1	0	0	0	1	0	0
ABHD3	0	0	0	1	0	0	0	0	6	0	15	120	73	0	14	0	14	15	0	9	52	11	2	41	3	0	0	0	0	0	5	0	0	0	6	1	0
ABHD4	1	0	0	0	0	0	2	0	18	0	46	555	60	0	0	0	4	1	0	4	28	7	7	18	2	0	0	0	0	0	0	2	0	8	5	1	0
ABHD5	0	2	0	0	0	0	1	1	9	0	7	244	111	1	12	0	27	19	0	4	110	17	40	87	33	3	0	0	1	1	10	2	0	3	4	0	2
ABHD6	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	0	2	10	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI1	3	1	0	4	0	2	0	5	13	1	152	218	167	0	51	7	82	75	1	6	121	67	57	130	31	2	1	3	3	0	11	7	1	7	7	0	0
ABI2	0	0	0	3	1	3	1	0	9	0	288	203	168	3	10	0	30	25	0	5	91	34	54	161	41	7	0	1	0	0	14	3	0	2	12	1	1
ABI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	1	0	1	2	0	4	1	0	16	0	15	77	61	0	12	1	21	19	0	4	66	33	18	68	5	4	1	1	6	0	5	11	0	2	12	3	2
ABL1	0	0	0	0	0	0	0	0	1	0	20	12	10	0	6	0	1	2	0	0	11	1	8	25	5	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	0	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	1	2	0	0	1	0	4	5	0	0	0	0	1	0	0	0	0	0	2	0	1
ABLIM1	0	0	0	0	0	1	0	0	0	0	3	78	14	0	0	0	4	2	0	1	12	2	3	10	2	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM2	1	0	0	0	0	0	0	1	2	0	0	111	49	0	3	0	9	1	0	1	27	10	4	30	2	1	0	0	0	0	0	1	0	3	4	0	0
ABLIM3	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	1	0	0	0	7	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0	2	4	0	25	21	5	0	0	0	0	0	0	2	14	2	0	14	3	0	0	0	0	0	0	0	0	2	1	3	0
ABR	0	0	0	0	0	0	0	0	6	0	3	12	11	0	2	0	1	1	0	2	11	0	5	23	3	1	0	0	0	0	0	0	0	5	1	1	0
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	1	0	1	1	0	0	0	2	10	0	158	155	68	0	10	5	28	15	0	7	40	41	8	56	6	1	0	0	2	0	13	2	0	1	6	2	4
ABRAXAS1	0	2	0	3	2	0	0	3	13	0	18	98	31	0	8	0	9	10	0	2	51	24	6	30	5	4	0	0	5	2	2	1	0	7	2	5	0
ABRAXAS2	0	1	1	3	0	2	0	0	15	0	45	105	83	0	5	1	9	15	0	9	58	13	16	49	9	1	0	1	0	0	7	10	0	13	8	10	2
ABT1	0	0	1	0	0	0	0	0	12	0	25	99	69	1	2	0	13	2	0	4	45	17	6	25	1	0	0	0	0	0	0	5	0	9	12	2	0
ABTB1	0	0	0	0	0	0	0	0	3	0	16	22	6	0	0	0	1	1	0	0	7	0	3	5	2	1	0	0	3	0	0	3	0	2	1	0	2
ABTB2	0	0	0	0	0	0	0	0	1	2	2	61	17	0	1	3	0	3	0	0	15	2	14	17	5	2	0	0	0	0	0	0	0	1	1	1	0
ACAA1	0	1	0	4	0	0	0	0	18	1	23	201	58	0	4	0	6	3	0	3	65	16	10	43	3	4	0	0	0	0	0	0	0	12	17	2	5
ACAA2	0	0	1	2	0	0	0	3	15	0	313	150	86	0	15	4	38	27	0	7	72	35	20	73	9	7	0	0	0	0	6	6	0	8	6	5	3
ACACA	1	0	1	0	2	0	1	2	5	0	23	56	77	0	7	1	10	7	1	4	44	11	28	120	15	8	0	2	1	0	8	1	0	2	5	0	1
ACACB	0	0	0	2	0	0	0	0	2	0	9	15	5	1	0	0	2	1	0	0	13	2	2	12	1	0	0	0	0	0	0	0	0	0	0	0	0
ACAD10	0	0	0	0	0	0	0	0	1	0	35	14	1	0	0	0	1	0	0	0	1	4	0	4	3	0	0	0	0	0	0	1	0	0	3	0	0
ACAD11	0	0	0	2	0	0	0	2	7	0	67	209	74	1	13	0	39	13	0	5	50	15	32	108	24	0	0	1	0	0	8	0	0	2	1	3	1
ACAD8	0	0	0	0	0	0	0	0	0	0	8	7	6	0	0	0	0	0	0	0	6	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD9	0	0	0	0	0	0	1	0	7	0	41	121	63	1	2	2	16	9	0	2	47	9	29	83	15	1	0	0	0	0	3	1	0	10	6	1	1
ACADL	0	0	1	0	1	2	2	0	3	0	11	35	46	0	2	0	9	2	0	0	28	20	6	36	10	0	0	3	2	0	0	2	0	1	0	3	0
ACADM	0	1	1	3	0	2	1	0	6	0	136	139	52	0	8	4	20	13	0	3	50	24	28	73	7	2	0	0	2	0	6	3	0	7	22	4	2
ACADS	0	0	0	0	0	0	0	0	4	0	54	36	44	6	1	0	1	5	0	1	33	6	39	155	52	11	0	0	0	0	1	4	0	1	1	0	0
ACADSB	1	0	0	0	0	0	0	1	1	0	123	45	12	0	2	0	3	8	0	0	11	5	2	5	5	0	1	0	0	0	0	0	0	0	0	0	0
ACADVL	0	0	0	0	0	0	0	3	9	0	165	117	51	0	0	0	6	4	1	4	26	9	18	58	13	8	0	0	0	0	0	4	0	11	16	0	4
ACAN	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0	0	0	0	0	18	7	2	1	0	0	0	0	0	0	3	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP2	2	3	0	3	0	2	0	4	34	1	133	410	348	3	87	4	117	51	0	36	280	121	140	399	72	5	0	0	5	1	29	9	0	23	19	4	6
ACAP3	0	0	0	0	0	0	0	0	0	0	3	2	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAT1	3	0	1	2	0	0	2	3	28	1	266	159	142	1	13	2	31	21	0	16	118	40	21	125	20	5	2	2	7	1	15	8	1	22	10	4	2
ACBD3	3	1	1	1	0	0	0	2	25	0	139	128	124	4	15	0	29	14	0	6	105	21	71	242	60	17	0	1	0	0	5	4	0	2	6	3	4
ACBD4	0	0	0	0	0	0	0	0	1	0	2	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ACBD5	0	0	0	0	0	0	1	0	2	0	79	87	36	0	5	0	8	11	0	4	37	10	21	60	3	1	0	0	2	0	1	2	0	1	2	1	0
ACBD6	0	1	0	3	0	0	0	0	5	0	88	65	47	1	1	0	10	3	0	4	62	9	16	81	5	4	0	0	0	0	0	9	0	7	7	3	0
ACBD7	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	1	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0
ACCS	0	0	0	2	0	0	0	0	0	0	30	3	0	0	1	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	3	1	0	0
ACCSL	0	0	1	0	0	1	0	1	2	2	14	1180	339	5	49	2	143	269	0	7	125	51	45	87	28	1	0	0	0	0	13	1	0	2	0	0	0
ACD	0	0	0	1	0	0	0	1	12	0	16	203	78	1	3	0	19	4	0	2	69	8	16	66	19	6	0	0	0	0	0	7	0	1	3	0	1
ACE2	1	3	1	12	1	0	0	10	43	1	52	1226	746	10	192	14	408	693	5	69	435	403	141	234	58	6	0	4	8	2	86	27	1	19	30	14	9
ACER1	0	0	0	0	0	0	0	0	0	0	0	32	16	0	0	0	6	2	0	0	7	4	0	7	1	0	0	0	0	0	0	0	0	3	0	1	1
ACER2	0	0	0	0	0	0	0	0	1	0	2	55	1	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0
ACER3	0	1	0	1	0	0	0	0	0	0	12	102	25	0	1	0	13	7	0	1	18	15	10	19	2	1	0	0	0	0	0	0	0	0	3	0	0
ACHE	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACIN1	1	0	1	5	1	4	1	2	27	3	575	248	158	3	22	0	84	37	0	17	151	74	97	291	63	11	0	2	3	3	9	18	0	7	16	5	1
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR4	0	0	0	0	0	0	0	0	0	0	70	2	0	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACLY	2	0	0	6	1	0	1	0	13	1	63	265	117	1	12	6	21	39	0	13	148	13	42	126	41	4	0	0	1	0	11	8	0	7	13	0	3
ACMSD	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ACO1	1	5	0	3	0	0	0	3	24	1	60	214	117	2	12	0	44	24	1	22	117	47	55	190	37	16	1	0	7	1	7	12	0	14	7	4	1
ACO2	0	0	1	8	0	2	0	3	39	0	152	370	251	2	21	4	27	15	2	8	173	54	64	242	49	7	0	1	0	2	6	15	1	22	42	10	0
ACOD1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
ACOT11	0	0	0	0	0	0	0	0	1	0	14	47	11	0	0	0	0	0	0	0	13	1	8	9	5	0	0	0	0	0	0	0	0	0	1	0	0
ACOT12	0	0	0	0	0	0	0	0	2	0	1	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACOT13	6	2	5	3	4	2	0	6	34	0	169	203	95	0	20	0	47	19	0	10	92	65	13	63	2	1	0	4	5	3	3	11	0	33	29	7	6
ACOT2	0	0	0	0	0	0	1	5	9	0	103	335	275	1	10	6	34	10	0	15	203	61	31	210	14	0	0	0	1	0	5	5	0	1	1	0	2
ACOT4	0	1	0	0	0	2	0	0	3	0	1	30	39	0	0	1	3	0	0	0	18	13	6	16	0	0	0	0	0	0	0	0	0	2	3	1	0
ACOT6	0	0	0	0	0	0	0	0	6	0	3	9	4	0	0	0	0	0	0	0	2	4	2	4	0	0	0	0	0	0	0	5	0	3	0	0	3
ACOT7	0	0	0	0	0	0	1	0	4	0	25	195	133	1	4	1	20	9	0	2	103	16	57	147	28	1	0	0	1	0	11	2	0	3	1	0	0
ACOT8	0	0	0	1	0	0	0	0	0	0	21	91	32	0	0	0	0	2	0	2	16	10	6	26	0	2	0	0	0	0	0	1	0	2	3	1	0
ACOT9	2	0	0	8	1	0	0	2	39	0	25	493	352	1	32	3	86	59	1	28	234	115	68	190	36	5	0	0	3	2	11	13	0	14	17	6	2
ACOX1	0	0	0	0	0	0	0	1	5	0	21	56	31	0	5	0	10	3	0	0	13	11	5	26	8	0	0	0	0	0	1	0	0	3	2	0	0
ACOX2	0	0	0	0	0	0	0	0	0	0	31	6	0	0	0	0	1	0	0	0	1	4	0	5	1	0	0	0	0	0	0	3	0	0	0	0	0
ACOX3	0	0	0	0	0	0	0	1	0	0	3	41	1	0	0	0	2	0	0	0	2	1	0	3	4	0	0	0	0	0	0	0	0	2	1	0	0
ACP1	6	3	2	12	3	5	2	12	38	0	160	340	265	0	60	7	77	88	2	13	154	142	38	188	25	9	0	2	4	0	19	10	0	17	24	11	21
ACP2	0	0	0	0	0	0	0	0	1	0	37	4	1	0	0	0	0	0	0	0	1	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0
ACP4	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	8	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
