Gene	YF2_OO_sc.1	YF2_OO_sc.2	YF2_OO_sc.3	YF2_OO_sc.4	YF2_OO_sc.5	YF2_OO_sc.6	YF2_OO_sc.7	YF2_OO_sc.8	YF2_OO_sc.9
ADAD1	179	0	0	333	2	255	0	0	0
ADAD2	0	0	0	10	0	7	0	0	0
ADAL	10	0	0	33	0	17	0	0	0
ADAM10	11	0	0	6	0	9	1	0	0
ADAM11	0	0	0	0	0	0	0	0	0
ADAM12	0	0	0	11	0	12	0	0	0
ADAM15	0	0	0	0	0	0	0	0	0
ADAM17	4	0	0	11	0	38	0	0	0
ADAM18	0	0	0	0	0	0	0	0	0
ADAM19	0	0	0	9	0	37	0	0	0
ADAM2	1	0	0	0	0	0	0	0	0
ADAM22	0	0	0	3	0	4	0	0	0
ADAM23	1	0	0	2	0	4	0	0	0
ADAM28	0	0	1	62	0	26	0	0	0
ADAM32	0	0	0	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0
ADAM8	0	0	0	0	0	0	0	0	0
ADAM9	15	0	0	11	0	23	0	0	0
ADAMDEC1	0	0	0	2	0	0	0	0	0
ADAMTS1	0	0	0	1	0	0	0	0	0
ADAMTS10	0	0	0	0	0	0	0	0	0
ADAMTS12	3	0	0	6	0	2	0	0	0
ADAMTS13	0	0	0	0	0	0	0	0	0
ADAMTS14	0	0	0	0	0	0	0	0	0
ADAMTS15	0	0	0	2	0	0	0	0	0
ADAMTS16	0	0	0	2	0	3	0	0	0
ADAMTS17	2	0	0	14	0	13	0	0	0
ADAMTS18	4	0	0	6	1	15	0	0	0
ADAMTS19	0	0	0	2	0	0	0	0	0
ADAMTS2	0	0	0	0	0	0	0	0	0
ADAMTS20	0	0	0	0	0	0	0	0	0
ADAMTS3	8	0	0	17	0	60	0	0	0
ADAMTS4	0	0	0	0	1	2	0	0	0
ADAMTS5	0	0	0	0	0	0	0	0	0
ADAMTS6	0	0	0	0	0	0	0	0	0
ADAMTS7	0	0	0	0	0	0	0	0	0
ADAMTS8	0	0	0	0	0	0	0	0	0
ADAMTS9	17	0	0	15	0	41	0	0	0
ADAMTSL1	10	0	0	44	0	21	0	0	0
ADAMTSL2	0	0	0	2	0	2	0	0	0
ADAMTSL4	0	0	0	0	0	0	0	0	0
ADAMTSL5	0	0	0	0	0	0	0	0	0
ADAP1	0	0	0	0	0	0	0	0	0
ADAP2	0	0	0	0	0	0	0	0	0
ADAR	6	0	0	39	1	15	0	0	0
ADARB1	0	0	0	0	0	3	0	0	0
ADARB2	0	0	0	0	0	0	0	0	0
ADAT1	0	0	0	0	0	0	0	0	0
ADAT2	0	0	0	0	0	0	0	0	0
ADCK1	0	0	0	0	0	1	0	0	0
ADCK2	0	0	0	27	0	12	1	0	0
ADCK5	0	0	0	0	0	0	0	0	0
ADCY1	0	0	0	0	0	0	0	0	0
ADCY10	0	0	0	0	0	0	0	0	0
ADCY2	7	0	0	15	0	30	0	0	0
ADCY3	2	0	0	88	1	74	0	0	0
ADCY4	0	0	0	0	0	0	0	0	0
ADCY5	0	0	0	3	0	2	0	0	0
ADCY6	0	0	0	0	0	0	0	0	0
ADCY7	3	0	0	9	0	13	0	0	0
ADCY8	0	0	0	0	0	0	0	0	0
ADCYAP1	1	0	0	2	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0	0	0	0
ADD1	3	0	0	23	0	13	0	0	0
ADD2	7	0	0	10	0	12	0	0	0
ADD3	126	0	0	104	0	242	0	0	0
ADGB	0	0	0	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0	0	0	0
ADGRA2	0	0	0	0	0	0	0	0	0
ADGRA3	16	0	0	24	0	23	0	0	0
ADGRB1	0	0	0	0	0	0	0	0	0
ADGRB2	0	0	0	0	0	5	0	0	0
ADGRB3	3	0	0	0	0	0	0	0	0
ADGRD1	0	0	0	6	0	0	0	0	0
ADGRD2	0	0	0	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0	0	0	0
ADGRE2	0	0	0	0	0	0	0	0	0
ADGRE3	0	0	0	0	0	0	0	0	4
ADGRE5	0	0	0	0	0	0	0	0	0
ADGRF1	0	0	0	0	0	0	0	0	0
ADGRF3	0	0	0	0	0	0	0	0	0
ADGRF4	0	0	0	0	0	0	0	0	0
ADGRF5	0	0	0	0	0	0	0	0	0
ADGRG1	0	0	0	14	0	18	0	0	0
ADGRG2	1	0	0	12	0	4	0	0	0
ADGRG3	0	0	0	2	0	0	0	0	0
ADGRG4	0	0	0	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0	0	0	0
ADGRG6	8	0	0	23	0	20	0	0	0
ADGRG7	3	0	0	13	0	7	0	0	0
ADGRL1	0	0	0	0	0	3	0	0	0
ADGRL2	1	0	0	0	0	1	0	0	0
ADGRL3	0	0	0	0	0	0	0	0	0
ADGRL4	0	0	0	0	0	0	0	0	0
ADGRV1	0	0	0	0	0	2	0	1	0
ADH1B	0	0	0	4	0	1	0	0	0
ADH4	0	0	0	0	0	0	0	0	0
ADH5	20	0	0	142	0	49	0	0	0
ADH6	0	0	0	0	0	0	0	0	0
ADHFE1	0	0	0	0	0	0	0	0	0
ADI1	34	0	1	341	1	162	0	0	0
ADIG	0	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0	0
ADIPOR1	0	0	0	17	0	10	0	0	0
ADIPOR2	2	0	0	7	0	11	0	0	0
ADK	6	0	0	51	0	17	0	0	0
ADM	0	0	0	0	0	0	0	0	0
ADM2	0	0	0	0	0	0	0	0	0
ADM5	0	0	0	3	0	0	0	0	0
ADNP	17	0	0	4	0	17	0	0	0
ADNP2	0	0	1	20	0	19	0	0	0
ADO	0	0	0	0	0	0	0	0	0
ADORA1	0	0	0	3	0	0	0	0	0
ADORA2A	0	0	0	0	0	0	0	0	0
ADORA2B	1	0	0	2	0	0	0	0	0
ADPGK	9	0	0	24	0	45	0	0	0
ADPRH	0	0	0	0	0	0	0	0	0
ADPRHL2	0	0	0	10	0	7	0	0	0
ADPRM	0	0	0	39	0	25	0	0	0
ADRA1A	10	0	0	11	0	6	0	0	0
ADRA1B	0	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	0	0	0
ADRB1	0	0	0	0	0	0	0	0	0
ADRM1	3	0	0	127	0	22	0	0	0
ADSL	0	0	0	33	0	15	0	0	0
ADSS	0	0	0	6	0	12	0	0	0
ADSSL1	0	0	0	1	0	1	0	0	0
ADTRP	0	0	0	5	0	1	0	0	0
AEBP1	0	0	0	0	0	0	0	0	0
AEBP2	0	0	0	9	0	19	0	0	0
AEN	0	0	0	5	0	1	0	0	0
AES	0	0	0	0	0	0	0	0	0
AFAP1	0	0	0	20	0	1	0	0	0
AFAP1L1	0	0	0	2	0	0	0	0	0
AFAP1L2	25	0	0	106	0	108	0	0	0
AFDN	7	0	0	19	0	33	0	0	0
AFF1	30	0	0	108	2	122	0	0	0
AFF2	10	0	0	0	0	7	0	0	0
AFF3	57	0	1	67	1	109	0	0	0
AFF4	2	0	0	15	0	6	0	0	0
AFG1L	2	0	0	6	0	5	0	0	0
AFG3L2	0	0	0	19	0	16	0	0	0
AFM	0	0	0	0	0	0	0	0	0
AFMID	1	0	0	6	0	6	0	0	0
AFP	0	0	0	0	0	0	0	0	0
AFTPH	0	0	0	1	0	2	0	0	0
AGA	3	0	0	109	0	43	0	0	0
AGAP1	0	0	0	10	0	4	0	0	0
AGAP2	0	0	0	0	0	0	0	0	0
AGAP3	0	0	0	0	0	0	0	0	0
AGBL1	0	0	0	8	0	7	0	0	0
AGBL2	0	0	0	0	0	0	0	0	0
AGBL3	0	0	0	0	0	0	0	0	0
AGBL4	0	0	0	8	0	1	0	0	0
AGBL5	0	0	0	53	0	40	0	0	0
AGER	0	0	0	0	0	0	0	0	0
AGFG1	7	0	0	36	0	30	0	0	0
AGGF1	127	1	2	317	0	232	0	1	0
AGK	10	0	0	56	0	45	0	0	0
AGL	0	0	0	4	0	22	0	0	0
AGMAT	0	0	0	3	0	2	0	0	0
AGMO	0	0	0	0	0	0	0	0	0
AGO1	0	0	0	3	0	2	0	0	0
AGO2	0	0	0	0	0	0	0	0	0
AGO3	2	0	0	1	0	3	0	0	0
AGO4	0	0	0	0	0	0	0	0	2
AGPAT1	1	0	0	0	0	1	0	0	0
AGPAT2	0	0	0	4	0	9	0	0	0
AGPAT3	10	0	2	29	0	15	0	0	0
AGPAT4	0	0	0	8	0	14	0	0	0
AGPAT5	0	0	0	11	0	9	0	0	0
AGPS	0	0	0	9	0	2	0	0	0
AGR2	0	0	0	1	0	10	0	0	0
AGR3	0	0	0	0	0	0	0	0	0
AGRN	0	0	0	0	0	0	0	0	0
AGRP	0	0	0	0	0	0	0	0	0
AGT	0	0	0	0	0	0	0	0	0
AGTPBP1	1	0	0	2	0	8	0	0	0
AGTR1	0	0	0	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0	0	0	0
AGTRAP	0	0	0	11	0	3	0	0	0
AGXT	0	0	0	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0	0	0	0
AHCTF1	43	0	0	15	0	102	0	0	0
AHCY	1	0	0	14	0	22	0	0	0
AHCYL1	0	0	0	4	0	2	0	0	0
AHCYL2	0	0	0	5	0	0	0	0	0
AHDC1	0	0	0	0	0	0	0	0	0
AHI1	2	0	0	30	0	15	0	0	0
AHNAK	0	0	0	20	0	1	0	0	0
AHSA1	40	0	0	72	0	37	0	0	0
AHSG	0	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0	0
AICDA	12	0	4	325	2	37	0	3	2
AIDA	6	0	0	7	0	11	0	0	0
AIF1	0	0	0	0	0	0	0	0	0
AIF1L	0	0	0	0	0	0	0	0	0
AIFM1	36	0	0	116	0	87	0	0	1
AIFM2	0	0	0	58	0	10	0	0	0
AIFM3	0	0	1	0	0	0	0	0	0
AIG1	0	0	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0	0	0
AIMP1	43	0	0	71	1	76	0	0	0
AIMP2	30	0	0	146	0	62	0	0	0
AIP	0	0	0	63	0	10	0	0	1
AIPL1	0	0	0	0	0	4	0	0	0
AIRE	0	0	0	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0	0	0	0
AJUBA	0	0	0	5	0	2	0	0	0
AK1	0	0	0	153	0	22	0	0	0
AK3	0	0	0	17	0	8	0	0	0
AK4	0	0	0	0	0	1	0	0	0
AK5	5	0	0	182	0	85	0	0	0
AK6	1	0	0	154	0	63	0	0	0
AK7	0	0	0	1	0	0	0	0	0
AK8	0	0	0	5	0	2	0	0	0
AK9	9	0	0	22	0	6	0	0	6
AKAIN1	0	0	0	0	0	0	0	0	0
AKAP1	38	0	0	49	1	93	0	0	0
AKAP10	0	0	0	0	0	0	0	0	0
AKAP11	76	0	0	78	1	77	0	0	0
AKAP12	0	0	0	0	0	0	0	0	0
AKAP13	6	0	0	16	1	15	0	0	0
AKAP14	0	0	0	10	0	2	0	0	0
AKAP2	8	0	0	32	0	29	0	0	0
AKAP3	0	0	0	0	0	0	0	0	0
AKAP4	0	0	0	3	0	0	0	0	0
AKAP6	3	0	0	70	0	23	0	1	0
AKAP7	0	0	0	2	0	0	0	0	0
AKAP8	0	0	0	1	0	14	0	0	0
AKAP8L	0	0	0	4	0	3	0	0	0
AKAP9	74	0	0	191	3	73	0	0	0
AKIP1	43	0	0	175	0	63	0	0	0
AKIRIN1	0	0	0	19	0	24	0	0	0
AKIRIN2	113	0	0	68	0	117	0	0	0
AKNA	0	0	0	0	0	2	0	0	0
AKR1B1	9	0	1	525	4	207	0	0	0
AKR1D1	0	0	0	0	0	0	0	0	0
AKR1E2	0	0	0	11	0	1	0	0	0
AKR7A2	0	0	0	1	0	3	0	0	0
AKR7A3	0	0	0	0	0	0	0	0	0
AKR7L	3	0	0	12	0	7	0	0	0
AKT1	1	0	0	13	0	5	0	0	0
AKT1S1	0	0	0	0	0	0	0	0	0
AKT2	0	0	1	5	0	2	0	0	0
AKT3	8	0	0	3	0	10	0	0	0
AKTIP	150	2	0	734	2	271	0	0	0
ALAD	0	0	0	0	0	0	0	0	0
ALAS1	255	0	2	555	1	296	0	1	0
ALAS2	0	0	0	0	0	0	0	0	0
ALB	0	0	0	0	0	0	0	0	0
ALCAM	0	0	0	0	0	0	0	0	0
ALDH16A1	0	0	0	0	0	0	0	0	0
ALDH18A1	14	0	0	31	0	9	0	0	0
ALDH1A1	0	0	0	25	0	10	0	0	0
ALDH1A2	15	1	1	8	0	19	0	0	0
ALDH1A3	0	0	0	0	0	0	0	0	0
ALDH1B1	0	0	0	0	0	0	0	0	0
ALDH1L1	0	0	0	0	0	0	0	0	0
ALDH1L2	0	0	0	0	0	0	0	0	0
ALDH2	0	0	0	2	0	23	0	0	0
ALDH3A1	0	0	0	2	0	0	0	0	0
ALDH3A2	0	0	0	48	0	4	0	0	0
ALDH3B1	0	0	0	0	0	0	0	0	0
ALDH3B2	0	0	0	0	0	0	0	0	0
ALDH4A1	0	0	0	0	0	0	0	0	0
ALDH5A1	0	0	0	0	0	0	0	0	0
ALDH6A1	7	0	0	3	0	6	0	0	0
ALDH8A1	0	0	0	0	0	0	0	0	0
ALDH9A1	19	0	1	153	0	96	0	0	0
ALDOB	0	0	0	5	0	0	0	0	0
ALDOC	0	0	0	0	0	0	0	0	0
ALG11	4	0	0	22	0	27	0	0	0
ALG12	0	0	0	0	0	6	0	0	0
ALG13	9	0	0	134	1	72	0	0	0
ALG14	0	0	0	9	0	11	0	0	0
ALG2	9	0	0	27	0	31	0	0	0
ALG3	0	0	0	15	0	6	0	0	0
ALG5	0	0	0	6	0	1	0	0	0
ALG6	1	0	0	8	0	9	0	0	0
ALG8	0	0	0	73	0	17	0	0	0
ALK	0	0	0	24	0	28	0	0	0
ALKAL1	0	0	0	0	0	0	0	0	0
ALKAL2	0	0	0	0	0	0	0	0	0
ALKBH1	14	0	1	93	0	23	0	0	0
ALKBH2	12	0	0	121	0	51	0	0	0
ALKBH3	9	0	1	114	0	39	0	0	0
ALKBH4	0	0	0	2	0	0	0	0	0
ALKBH5	15	0	0	70	5	53	0	0	0
ALKBH6	0	0	0	4	0	0	0	0	0
ALKBH7	0	0	0	3	1	2	0	0	0
ALKBH8	0	0	0	0	0	0	0	0	0
ALLC	0	0	0	0	0	0	0	0	0
ALMS1	5	0	0	22	0	6	0	3	0
ALOX12	1	0	0	9	0	4	0	0	0
ALOX15	0	0	0	10	0	1	0	0	0
ALOX15B	1	0	0	21	0	5	0	0	0
ALOX5	0	0	0	0	0	0	0	0	0
ALOX5AP	0	0	1	22	1	27	0	0	0
ALOXE3	0	0	0	14	0	3	0	0	0
ALPK1	0	0	0	0	0	0	0	0	0
ALPK2	0	0	0	1	0	0	0	0	0
ALPK3	0	0	0	0	0	0	0	0	0
ALPL	0	0	0	0	0	0	0	0	0
ALS2	0	0	0	2	0	14	0	0	0
ALS2CL	0	0	0	0	0	0	0	0	0
ALS2CR12	0	0	0	0	0	0	0	0	0
ALX1	0	0	0	0	0	0	0	0	0
ALX3	0	0	0	5	0	1	0	0	0
ALX4	0	0	0	4	0	1	0	0	0
ALYREF	0	0	0	0	0	1	0	0	0
AMACR	0	0	0	0	0	1	0	0	0
AMBN	0	0	0	0	0	0	0	0	0
AMBP	0	0	0	0	0	0	0	0	0
AMBRA1	3	0	0	23	0	11	0	0	0
AMD1	31	0	0	32	0	109	0	0	0
AMDHD1	0	0	0	2	0	0	0	0	0
AMELX	0	0	0	0	0	0	0	0	0
AMER1	0	0	0	0	0	0	0	0	0
AMER2	0	0	0	0	0	0	0	0	0
AMFR	2	0	0	19	0	15	0	0	0
AMH	0	0	0	0	0	0	0	0	0
AMHR2	0	0	0	0	0	0	0	0	0
AMIGO1	0	0	0	2	0	1	0	0	0
AMIGO2	0	0	0	0	0	0	0	0	0
AMIGO3	0	0	0	0	0	0	0	0	0
AMMECR1	0	0	0	0	0	1	0	0	0
AMMECR1L	0	0	0	9	0	12	0	0	0
AMN	0	0	0	0	0	0	0	0	0
AMN1	1	0	0	18	0	7	0	0	0
AMOT	4	0	0	13	0	15	0	0	0
AMOTL1	14	0	0	10	0	7	0	0	0
AMOTL2	0	0	0	2	0	0	0	0	0
AMPD1	0	0	0	0	0	0	0	0	0
AMPD2	0	0	0	0	0	0	0	0	0
AMPD3	7	0	0	7	0	0	0	0	0
AMPH	0	0	0	0	0	0	0	0	0
AMT	0	0	0	0	0	0	0	0	0
AMTN	0	0	0	0	0	0	0	0	0
AMZ1	0	0	0	17	0	15	0	0	0
AMZ2	11	0	1	165	0	97	0	0	0
ANAPC1	5	0	0	12	0	9	0	0	0
ANAPC10	83	0	0	119	0	70	0	0	0
ANAPC11	21	0	0	153	0	38	0	0	0
ANAPC13	3	0	3	107	0	69	0	0	0
ANAPC15	4	0	1	129	4	44	0	0	0
